	member	F_4xCO2	$\Delta$T
UKESM1-0-LL	r1i1p1f4	7.93731531443995	0.5507886515722261
MPI-ESM1-2-LR	r1i1p1f1	8.351669645877495	0.5777720865707648
NorESM2-LM	r1i1p1f1	8.173806490347191	0.5407733161203188
CanESM5	r1i1p2f1	7.604644212993159	0.496559248856554
GFDL-ESM4	r1i1p1f1	7.734996044495253	0.44529619179564295
GFDL-CM4	r1i1p1f1	8.23380438973165	0.5514969336939487
HadGEM3-GC31-LL	r1i1p1f3	8.081181193122786	0.5329202470556614
MIROC6	r1i1p1f1	7.3330555658192305	
NorESM2-MM	r1i1p1f1	8.385277065872982	0.5722614724409596
CESM2	r1i1p1f1	8.897779226277837	0.5896956638687887
MRI-ESM2-0	r1i1p1f1	7.660009138799263	0.4102804621272423
ACCESS-CM2	r1i1p1f1	7.950594233790546	0.4543250224193306
ACCESS-ESM1-5	r1i1p1f1	7.040336350725779	0.4384674058238147
