	member	tau_1	tau_2	tau_p	T_q	S_1	S_2	S_osc1	S_osc2	b_1	b_2	b_3	b_4	F2x	GregoryF2x	GregoryT2x
ACCESS-CM2	r1i1p1f1	3.1441411829487924	88.53866002221693	99.99999921148806	157.08046001611638	3.566781101615871	3.418263932848851	0.4907246301799385	1.1324274851176594e-13	4.591949445449818	1.992509076252412	0.25346936881455906	1.5848872955628672	4.211407593039828	3.3857918441167008	4.713203342877853
ACCESS-ESM1-5	r1i1p1f1	3.309070765841924	98.59288619574629	94.51860817738847	106.404339756925	3.0395436609944886	2.9908554343423903	0.2255291747470114	1.2923961900668243e-10	4.267981812570879	1.5913671978346478	0.1943261336140768	1.3729442909261462	3.713309717472873	2.8565243624149628	3.8713042853747854
AWI-CM-1-1-MR	r1i1p1f1	1.6641631261875889	80.00007937333751	8.000000000001405	93.0523626068568	2.275796575337516	1.9131847713570669	0.2479339543887417	1.3888031585769651	3.1634356495528166	1.866144120481812	2.521609664893884	0.7111586896998601	4.131174062314186	3.7931999666921614	3.1340838857227387
BCC-CSM2-MR	r1i1p1f1	1.205696594129269	223.76160687458614	8.000001372430317	299.87378526275575	1.4310572353406492	2.966230501210138	0.1124932862673601	2.0204118591569395	2.5122149560744806	2.3283629403070307	2.792745876243893	2.853828284798965e-12	3.8166618863141295	3.1717375240351013	2.9986329177864044
BCC-ESM1	r1i1p1f1	3.0842888271709037	98.590125206168	19.31482379490921	77.97551946017936	3.147470042001438	2.023785497181499	5.1514126298002345e-11	0.3285331292375344	3.9325581166064714	1.5810896439667683	0.33051560167620136	1.0597083413699393	3.4519358518096888	3.032648210941872	3.2418223177052807
CAMS-CSM1-0	r1i1p1f1	1.5537925727725443	80.00000002030046	14.628235263609962	298.7154537855364	2.087078610240911	1.3598548661496124	0.8953263888720132	0.10029521104957073	4.481520017553847	2.118520626609871	1.9559356113602042	0.413239840054368	4.484608047789145	4.124761505064563	2.2979893983181934
CAMS-CSM1-0	r2i1p1f1	2.5100492955748654	80.0000019244892	21.367692765674835	100.13970259649031	2.8421908785442507	1.2093879958853826	0.18407210747838887	0.17478767799181127	5.687299801674431	1.8303743501372456	0.8041036592121686	0.4771974982572341	4.39948765464054	4.153382901495471	2.2980498615434493
CAS-ESM2-0	r1i1p1f1	1.9701824877386849	80.00000051604736	11.807740453053787	45.118569874459325	3.084542432351003	2.4867181156464504	1.06406750077781e-09	0.6364444261064695	5.110888541135512	1.9608505695614584	0.4763322893022297	0.8672890568203873	4.207680228409793	3.192423228818401	3.5169538331250716
CESM2	r1i1p1f1	3.062445787265504	362.4552579434746	21.606508243379093	299.9993194316814	3.0932998497147524	9.673067028006322	1.1457091453203652	0.03917396228764048	5.020418032549513	3.2834166071435846	1.0437471215731635	2.7017730275247235e-08	4.6737908941419954	3.286879345697429	5.164301422800165
CESM2-FV2	r1i1p1f1	2.2300473297472965	209.54590786270387	19.063215868929397	53.49848239726003	2.9001298987332453	5.980258384234505	0.5496352443763628	0.3000723984037537	5.8665473586458114	2.080731987451809	0.3925031879214329	1.1681559074972083	4.7539692207581306	2.8258593925048308	5.233605206840794
CESM2-WACCM	r1i1p1f1	4.02962022161879	247.4753831410739	74.5721241329979	43.20300317188596	4.06837646361684	5.937498647022528	5.078448661599566e-09	0.012487113322224741	5.079135063319844	2.839623510616721	0.004589483515522657	0.5103830348477667	4.216865546149927	3.286512219128263	4.7142939400528325
CESM2-WACCM-FV2	r1i1p1f1	4.462373656347701	499.9999460835099	99.99999997061363	88.56435610529806	4.009423438824898	8.47356415492081	1.249322711949219e-08	0.01720266237743928	3.9696969022301705	3.043747711096221	0.0035474651630639275	3.600266196279733e-09	3.508496041044861	2.91694192750407	4.76863623568658
CIESM	r1i1p1f1	2.6533225495320245	80.00000980619016	8.00000000474334	58.93579326619657	2.947011636875016	4.451864389953865	9.927217468064242e-07	1.1830219805766382	2.8176074602756827	2.8103569153142938	1.4038457761397414	1.8224675193627624	4.42713883554624	3.9817416928163363	5.40449354092442
CMCC-CM2-SR5	r1i1p1f1	1.7802519284450071	80.0000000365361	9.729796787570775	299.5937187674991	2.6386321535743344	2.1258691418910263	6.004863023489904e-07	1.5658884547620904	1.7875608791511044	1.4439568455996217	2.72083348037659	1.1522127308907488	3.5522819680090327	3.774412055438335	3.565428259991777
CNRM-CM6-1	r1i1p1f2	1.7688279699449654	80.00000051896795	13.085802490990195	299.8307530028795	2.8717775906301144	2.046832931171217	0.0015161153554649198	2.2405854375326366	3.5988336288288445	1.5934739560703202	1.2276732017668532	1.971954818646614	4.195967802656316	3.645579886235837	4.917582015977792
CNRM-CM6-1-HR	r1i1p1f2	2.545706847538173	80.00000000002632	22.327022370764045	113.81140576731372	3.0910432010525684	2.360001822620677	0.9910145515334359	0.5520333881593418	2.7330140694539797	2.413916728462441	0.9754690575825888	1.470955474485155	3.7966776649920826	3.9031460730301832	4.394245564337717
CNRM-ESM2-1	r1i1p1f2	4.0465556480336335	80.00000000973111	20.421138242647245	46.42594235214482	4.005007197149728	2.4578004921290484	0.00010724880363766065	0.21251501427046585	1.4561378341641371	1.75192599934502	0.2402903740048773	1.7129799489039266	2.5806670782089807	3.0221202283720894	4.734672525475369
CNRM-ESM2-1	r2i1p1f2	4.126933947601748	80.0000223189473	99.9979229442001	109.069519779688	4.145011494283343	2.4164719290198207	0.023958788970653955	0.03525695486743674	2.802367356640382	1.6236235618373849	0.015476822753068553	1.752897820755588	3.0971827809932115	3.0914905943847457	4.6118529305362825
CNRM-ESM2-1	r3i1p1f2	5.070740535325865	80.09870019093556	99.9994471103348	192.65972644836467	3.811446932280056	2.3794478680378592	0.4006745671709697	0.007970760816251587	2.2366576802067337	1.7675978497997908	0.08689951426497146	1.7050705119407867	2.898112778106141	2.96752597002342	4.778579578837978
CanESM5	r1i1p1f1	1.3384948319818393	80.00000009361622	8.612848903213324	299.90653904664555	1.6680628742146415	3.5044033340780523	0.00012512269975117896	3.4607448730033763	1.4330905004915946	2.130128591339404	2.4880727304788377	1.7739248711803712	3.912608346745104	3.6864397633286927	5.6227246166074085
CanESM5	r1i1p2f1	2.7333186091028043	80.00012895194969	22.531635389428786	160.670845517905	2.9433010137565825	4.17338509352518	1.4496369127309872	0.2440560265784807	2.0976263099049475	2.5147139874406332	1.1968461900469918	1.659550307121871	3.7343683972572217	3.598148744163887	5.670391962478485
