	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	GregoryF2x	GregoryT2x
ACCESS-CM2	2.6994151373930384	26.78435037115157	126.5750998209842	5000.0	2.9532030922961106	2.654437894945167	1.6334695653315705	2.5620437869053703	4.544958669136151	1.5642516246785874	1.0711246348934085	1.6800240874233203	4.430179508065733	4.901577169739109	3.3857918441167008	4.713203342877853
AWI-CM-1-1-MR	1.1246216499629154	5.92493138847416	83.37464901091572	5000.0	1.52059840862781	2.4412973704690297	1.881560291399472	0.5785562625741134	2.617395147273568	3.3748914137386232	2.013741036131236	0.6192001887910052	4.312613892967216	3.211006166535212	3.7931999666921614	3.1340838857227387
ACCESS-ESM1-5	2.6261662873566545	15.87084383701032	432.97188188431807	5000.0	2.390450154586438	1.6258206270567277	5.4742305277163625	0.1030292885545023	3.4025284955066764	1.5217347182054246	2.4206820861929708	0.0455591250485998	3.695252212476835	4.7967652989570135	2.8565243624149628	3.8713042853747854
BCC-CSM2-MR	1.1774166280418936	7.358499608820647	190.22475428925569	5000.0	1.3731840570245168	2.165567564565833	2.685665987975068	0.0805719154411201	2.535555552357127	2.7088117616670293	2.355649511820274	0.0706711832838165	3.8353440045641234	3.152494762503269	3.1717375240351013	2.9986329177864044
BCC-ESM1	2.6127344318014143	16.74223555091093	296.2657399091846	5000.0	2.489073596075729	1.4611795620603332	2.8295025675427783	0.088412420032391	3.3147813072254952	1.3755345586074368	2.2055196184414507	0.068915055646924	3.4823752699606536	3.434084072855616	3.032648210941872	3.2418223177052807
CAMS-CSM1-0	1.3248766837977266	7.320174025405593	133.14189229552392	5000.0	1.7660957661156274	1.6197564420989683	1.2646943836640172	0.0029918718502575	4.352018585802592	2.948853091181122	2.087970261113494	0.0049394854038187	4.6968907117505125	2.326769231864436	4.124761505064563	2.2979893983181934
CESM2	1.0428688867222964	6.243753420751704	278.64034579027447	5000.0	0.9588709482646144	3.4840545009567685	7.369163698107758	0.3428979008017769	2.0384052134506283	3.927029820907576	3.2085006388442974	0.1492961995217143	4.661615936362106	6.077493524065459	3.286879345697429	5.164301422800165
CESM2-WACCM	1.2394612664431983	6.250756034081168	301.7409136793776	5000.0	1.0614420983432589	3.140544645379128	6.547698540195155	0.1403265068387966	2.693970390981348	3.2428850557138285	3.255768546823438	0.069775757763848	4.631199875641231	5.445005895378169	3.286512219128263	4.7142939400528325
E3SM-1-0	1.0625840882755129	9.741808188425294	116.9019907069065	5000.0	1.0385354589395197	4.829783338039412	3.9512442406459183	1.6384329234816306	3.0629387489432967	3.770902687656154	1.9211675759617897	0.7966362027437288	4.7758226076524855	5.728997980553241	3.332399859966082	5.326724591033552
GFDL-CM4	1.873546906281004	9.647960874653988	172.43308186393756	5000.0	2.81903190747754	1.2623725393781131	3.221012937219912	1.6741352079201803	4.845032169739322	1.4672230522069236	1.8244804212595265	0.9482814781948444	4.542508560700307	4.488276295997873	3.196847816408221	3.9226554791708224
GFDL-ESM4	1.253540785251717	6.341908879456807	88.23744571775767	5000.0	1.481021443253855	1.9958558779087587	0.9372929256853344	0.8747585518766154	2.8108489353914665	2.5519924349269045	1.310515038458864	1.2230800060894342	3.9482182074333343	2.644464399362282	3.6393538269839736	2.6576540064554584
INM-CM4-8	1.2378435640154075	6.58371574136704	81.49414409137326	5000.0	1.297950519451022	1.2604107715381974	1.1921981099808705	0.0022391588851715	2.7339662880268776	2.3836569231874414	1.4435045509116449	0.0027111568236017	3.281919459474783	1.8763992799276308	2.7165262596518245	1.833784164276758
INM-CM5-0	1.0326676429933666	5.8925909614904	155.648556815769	5000.0	1.0409588669816745	1.717289054426381	1.24019373259599	0.0194153513838939	1.8027185568021555	3.3037347882366657	1.4159116256290023	0.0221662317891127	3.2722656012284683	2.0089285026939696	2.943525427293129	1.9121990438933287
IPSL-CM6A-LR	1.209301372160139	10.625675071496742	95.76270284208825	5000.0	1.896369816308184	3.220227617922636	2.634111525341325	1.7879837477596228	4.509792511242144	2.5972910301827947	1.6854650085263656	1.1440609152918002	4.968304732621553	4.769346353665884	3.4577500108111434	4.525570250040704
MIROC-ES2L	1.6093632620606078	10.23127866840974	838.8108900403723	5000.0	1.7218066238214966	2.0791421022347274	1.9296433335761525	0.5542689306167272	2.9263597464472992	3.123181921871194	1.7360815157438263	0.4986704166782348	4.142146800370276	3.142430495124552	4.11065197194308	2.660075471730935
MIROC6	2.018083096363088	14.205992005750767	400.8386447137924	5000.0	2.4222464538225856	1.1747580810123806	1.3594708325743443	0.1408865846906968	3.670842365120992	1.5767502612980917	2.1298693346893423	0.2207256008822229	3.799093780995324	2.548680976050004	3.7769514044409167	2.571830094087776
MPI-ESM1-2-HR	2.139629866907555	12.063362909211572	96.73704350456396	5000.0	2.793666758086356	0.6563560959395266	1.8279537941414947	1.052316258148121	4.4580669159709085	1.2760652239112842	1.7873976706363313	1.028968913008038	4.275249361763281	3.1651464531577487	3.705560991139728	2.962377166973589
MPI-ESM1-2-LR	1.9780181366184912	10.337571832884846	268.57512235253705	5000.0	2.572779610963189	1.4746827263899136	2.2412883827760552	0.0061455289843284	4.868273196477225	2.1619925694137176	2.662655094612212	0.0073009007609021	4.8501108806320286	3.1474481245567434	4.2627979447370805	3.0125260915293373
NorESM2-LM	1.92592757880361	14.228752936612608	350.98953671924545	5000.0	3.042688036452552	0.0	3.1832550272551137	0.008840879213273	7.690387200550335	-0.0	2.4208682189992	0.0067234963369804	5.058989457943257	3.1173919714604685	3.4143845260038845	2.5837531265598352
NorESM2-MM	2.0632640126783635	16.494432566358697	257.89964025375536	5000.0	3.210847568379074	0.0	1.8963696845606144	0.0832203218463245	6.74343582817566	-0.0	2.37840980327395	0.1043741792132539	4.613109905331432	2.5952187873930064	3.907476453489358	2.4373104847075053
UKESM1-0-LL	2.10839825785267	15.902069964986026	102.81086583534147	5000.0	2.8612230060756256	2.706653637385695	2.910380435895592	2.566198654818555	2.9553965092598284	1.8308840347365267	1.843948256583143	1.6258828149188522	4.128055807749175	5.522227867087734	3.657764330355992	5.3848165953371465
MRI-ESM2-0	1.0217190094509865	5.215970504742466	216.0703163580333	5000.0	1.145124336658963	2.161623639274044	3.2277881465285687	0.1390968859531289	2.7224743858740497	2.855751266264252	2.9346891040688887	0.1264662044364897	4.31969048032184	3.3368165042073525	3.3871839492122686	3.1586389233867584
