,model,exp,member,calendar
0,ACCESS-ESM1-5,1pctCO2,r1i1p1f1,proleptic_gregorian
1,ACCESS-ESM1-5,abrupt-4xCO2,r1i1p1f1,proleptic_gregorian
2,ACCESS-ESM1-5,abrupt-4xCO2,r2i1p1f1,proleptic_gregorian
3,ACCESS-ESM1-5,hist-GHG,r1i1p1f1,proleptic_gregorian
4,ACCESS-ESM1-5,hist-GHG,r2i1p1f1,proleptic_gregorian
5,ACCESS-ESM1-5,hist-GHG,r3i1p1f1,proleptic_gregorian
6,ACCESS-ESM1-5,hist-aer,r1i1p1f1,proleptic_gregorian
7,ACCESS-ESM1-5,hist-aer,r2i1p1f1,proleptic_gregorian
8,ACCESS-ESM1-5,hist-aer,r3i1p1f1,proleptic_gregorian
9,ACCESS-ESM1-5,hist-nat,r1i1p1f1,proleptic_gregorian
10,ACCESS-ESM1-5,hist-nat,r2i1p1f1,proleptic_gregorian
11,ACCESS-ESM1-5,hist-nat,r3i1p1f1,proleptic_gregorian
12,ACCESS-ESM1-5,historical,r10i1p1f1,proleptic_gregorian
13,ACCESS-ESM1-5,historical,r11i1p1f1,proleptic_gregorian
14,ACCESS-ESM1-5,historical,r12i1p1f1,proleptic_gregorian
15,ACCESS-ESM1-5,historical,r13i1p1f1,proleptic_gregorian
16,ACCESS-ESM1-5,historical,r14i1p1f1,proleptic_gregorian
17,ACCESS-ESM1-5,historical,r15i1p1f1,proleptic_gregorian
18,ACCESS-ESM1-5,historical,r16i1p1f1,proleptic_gregorian
19,ACCESS-ESM1-5,historical,r17i1p1f1,proleptic_gregorian
20,ACCESS-ESM1-5,historical,r18i1p1f1,proleptic_gregorian
21,ACCESS-ESM1-5,historical,r19i1p1f1,proleptic_gregorian
22,ACCESS-ESM1-5,historical,r1i1p1f1,proleptic_gregorian
23,ACCESS-ESM1-5,historical,r20i1p1f1,proleptic_gregorian
24,ACCESS-ESM1-5,historical,r21i1p1f1,proleptic_gregorian
25,ACCESS-ESM1-5,historical,r22i1p1f1,proleptic_gregorian
26,ACCESS-ESM1-5,historical,r23i1p1f1,proleptic_gregorian
27,ACCESS-ESM1-5,historical,r24i1p1f1,proleptic_gregorian
28,ACCESS-ESM1-5,historical,r25i1p1f1,proleptic_gregorian
29,ACCESS-ESM1-5,historical,r26i1p1f1,proleptic_gregorian
30,ACCESS-ESM1-5,historical,r27i1p1f1,proleptic_gregorian
31,ACCESS-ESM1-5,historical,r28i1p1f1,proleptic_gregorian
32,ACCESS-ESM1-5,historical,r29i1p1f1,proleptic_gregorian
33,ACCESS-ESM1-5,historical,r2i1p1f1,proleptic_gregorian
34,ACCESS-ESM1-5,historical,r30i1p1f1,proleptic_gregorian
35,ACCESS-ESM1-5,historical,r31i1p1f1,proleptic_gregorian
36,ACCESS-ESM1-5,historical,r32i1p1f1,proleptic_gregorian
37,ACCESS-ESM1-5,historical,r33i1p1f1,proleptic_gregorian
38,ACCESS-ESM1-5,historical,r34i1p1f1,proleptic_gregorian
39,ACCESS-ESM1-5,historical,r35i1p1f1,proleptic_gregorian
40,ACCESS-ESM1-5,historical,r36i1p1f1,proleptic_gregorian
41,ACCESS-ESM1-5,historical,r37i1p1f1,proleptic_gregorian
42,ACCESS-ESM1-5,historical,r38i1p1f1,proleptic_gregorian
43,ACCESS-ESM1-5,historical,r39i1p1f1,proleptic_gregorian
44,ACCESS-ESM1-5,historical,r3i1p1f1,proleptic_gregorian
45,ACCESS-ESM1-5,historical,r40i1p1f1,proleptic_gregorian
46,ACCESS-ESM1-5,historical,r4i1p1f1,proleptic_gregorian
47,ACCESS-ESM1-5,historical,r5i1p1f1,proleptic_gregorian
48,ACCESS-ESM1-5,historical,r6i1p1f1,proleptic_gregorian
49,ACCESS-ESM1-5,historical,r7i1p1f1,proleptic_gregorian
