	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	GregoryF2x	GregoryT2x
ACCESS-CM2	2.701664106280561	26.443788653051733	146.97743769806792	5000.0	2.935777397568266	2.70687345853256	1.7264357344742007	2.106453745602381	4.6027944018848	1.509672227651068	1.255833081769351	1.532263406115197	4.450281558710208	4.737770168088703	3.3857918441167016	4.713203342877853
ACCESS-ESM1-5	2.357614067312688	14.208376504342064	438.68764496734696	5000.0	2.210737832019837	1.7779710590051214	5.650519306762692	0.127102054308706	3.20748958215479	1.7382934816330131	2.4044198498203766	0.0540847107569462	3.702143812182563	4.883165126048178	2.85652436241496	3.871304285374789
AWI-CM-1-1-MR	1.238014032967891	6.340457221931953	92.1489743746272	5000.0	1.652379870059934	2.3602701605774787	1.9029727429546208	0.5063895594783888	2.763960681794281	3.239493991999417	2.0366577253162017	0.5419637312985532	4.291038065204226	3.2110061665352108	3.7931999666921614	3.1340838857227387
BCC-CSM2-MR	1.086030312758829	7.361830636085962	198.8749305808236	5000.0	1.3376373378584756	2.210856942646441	2.7513441227275552	0.0068184932263338	2.5675341309477258	2.7612980646596776	2.4111067098299315	0.0059753029921409	3.8729571042147377	3.153328448229403	3.1717375240351027	2.998632917786405
BCC-ESM1	2.5782795707092254	16.81217422107435	309.7926114093196	5000.0	2.4787083824538367	1.480787468630022	2.904760335028877	0.0039119595984967	3.3101227277756897	1.3916674069945552	2.264180983352259	0.0030492651747362	3.48451019164862	3.434084072855617	3.032648210941872	3.2418223177052803
CAMS-CSM1-0	1.822102702607592	9.872321189140376	119.37853949689458	5000.0	2.2180342937529858	1.1795145863055314	1.1647682335720049	0.1062955247248549	4.634734431867968	2.245757922845248	1.8840683269036589	0.1719380951964497	4.468249388406662	2.3343063191776885	4.1396996031985935	2.297953073673615
CAS-ESM2-0	1.2828661785854276	8.421437109453684	112.86548305615882	5000.0	1.7352930683124428	2.3237191321111887	2.418802425927878	0.9065130702743032	4.050433635667291	2.330768750165862	1.834524365012553	0.6875387161820763	4.451632733513891	3.6921638483129056	3.192423228818401	3.5169538331250725
CESM2	1.305151685955299	6.825965145039545	271.7798861798352	5000.0	1.2583597574177516	3.198511911151232	7.178843492974897	0.5192718865870394	2.29738322729909	3.5868817969130724	3.12563607988348	0.2260886374767619	4.617994870786202	6.07749352406546	3.28687934569743	5.164301422800167
CESM2-FV2	1.196693923830938	6.129953798345516	345.5506594417654	5000.0	1.1383389996300708	2.847044694927707	8.04176466911246	0.9976809302336754	4.805313553762912	2.6663057661271536	2.819197341390162	0.3497564952221941	5.32028657825121	6.512414646951957	2.825859392504831	5.233605206840792
CESM2-WACCM	1.02383324853861	5.351872442694256	258.79188971271896	5000.0	0.6465764503348236	3.495882201299409	5.960530344969059	0.8627549006553873	1.5044737818627452	4.148677006454648	2.917960099476255	0.4223591241113107	4.496735005952479	5.48287194862934	3.2865122191282614	4.714293940052834
