	member	tau1	tau2	tau_p	T_q	S_1	S_2	S_3	S_4	b_1	b_2	b_3	b_4	F2x	GregoryF2x	GregoryT2x
ACCESS-CM2	r1i1p1f1	2.6810116728509046	39.99999997757936	50.0	121.95795129404951	3.1915086212277184	3.5089319364895912	9.210424453454102e-06	0.04539621188496668	4.495343819191627	2.1524371987116218	5.105539515046854e-13	1.9981310997484905	4.322956058826125	3.3857918441167008	4.713203342877853
ACCESS-ESM1-5	r1i1p1f1	2.7850483870782994	34.10803441218042	599.9999995976367	357.5423914018443	2.5988032050121754	3.3107958803817428	3.3306690738754696e-16	0.08173151481477081	4.195297113253563	1.7404515025660896	0.015137310724011609	1.7167778294437632	3.8338318779937137	2.8565243624149628	3.8713042853747854
AWI-CM-1-1-MR	r1i1p1f1	1.4320713883927552	6.531796837636327	136.27829800143422	12832044.096809447	1.8135625754735607	2.1857003589287443	1.2468798437667896	0.3649877912434317	2.570184434855099	3.281382815779003	1.5442370627749775	0.926340129271942	4.161072221340511	3.7931999666921614	3.1340838857227387
BCC-CSM2-MR	r1i1p1f1	1.1821890480536688	7.675601876734296	383.65845308484	152714.12933137882	1.4001400476830184	2.186622473062655	2.3624137635637754	0.1229489548543694	2.8206520966636535	2.6210143000299286	2.220582465578159	0.17776124833530305	3.920005055303522	3.1717375240351013	2.9986329177864044
BCC-ESM1	r1i1p1f1	2.696997478906593	27.743237798344804	599.9998945523166	257.7377047381464	2.615381263251957	2.323345281273241	2.3008841498750607e-09	0.01939099119373422	3.5025211072777886	1.9775540833122467	0.01095674831524815	1.4948518005022686	3.492941869703776	3.032648210941872	3.2418223177052807
CAMS-CSM1-0	r1i1p1f1	1.6213162218506187	12.64220294754439	388.503081416806	232.7596656935441	2.164667878069346	1.7115310803054016	0.12920408843074505	0.02156640019286804	4.591550809995786	3.0756088835763875	0.19032574773031186	1.0477453394457243	4.4526153903741035	4.124761505064563	2.2979893983181934
CAMS-CSM1-0	r2i1p1f1	2.3682053193388266	24.27397581886405	399.99460308451563	231.1295468340979	2.660615660159552	1.4492790027304008	5.5508517782243424e-09	0.015212332914148254	5.488133007799218	2.47584679174644	0.01584091307816749	0.9088309503784376	4.444325831501131	4.153382901495471	2.2980498615434493
CAS-ESM2-0	r1i1p1f1	1.258997241366805	8.953781382586891	73.8087468676408	589.2877586252567	1.7073687679135523	2.606407483669433	4.757910132546783e-08	1.6804787980866034	4.7176221753618135	2.32644619922398	1.263609647290316	1.057080744854821	4.682379383365466	3.192423228818401	3.5169538331250716
CESM2	r1i1p1f1	2.8934239967941093	12.942462337976579	277.37977663384066	1265.7789916660304	2.847483144371948	2.0727241265931355	2.999626531957631	2.3556031856236546	4.748975156898683	1.5173934167751968	2.0225879190586222	1.0236927208570068	4.656324606794755	3.286879345697429	5.164301422800165
CESM2-FV2	r1i1p1f1	1.3870977411134224	9.991535912368507	89.82809615757995	373.94313520193634	1.563465593710376	3.5451183990883406	3.698720130174138e-08	1.6813274874597544	6.1522125682343445	2.017171616987254	0.4989239373280853	2.226537018016012	5.447422570282848	2.8258593925048308	5.233605206840794
