	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	GregoryF2x	GregoryT2x
ACCESS1-0	2.429334103626521	12.788434561391242	231.0986146330374	5000.0	2.548021229622841	1.202341621114351	4.110174174280127	0.8007655406349423	3.3250856065496857	1.3442184654671554	2.314145713719808	0.4508539212646463	3.7171518535006483	4.330651282826132	2.9745305175068366	3.8279308264164986
ACCESS1-3	1.1347974239120262	5.795009626544622	150.09503332222184	5000.0	0.7616452520608946	2.529156294569688	2.7537128878809893	2.2037628268397444	1.1109292887715692	3.292969193938992	1.5534440381342856	1.2432023105540675	3.600272415699457	4.124138630675658	2.8944146503882835	3.5319260382077005
bcc-csm1-1	2.146523216405735	11.042960633488176	163.1287010428581	5000.0	2.11944350347511	1.4280036422891718	2.3427144239561817	0.06042641065655285	3.2912779262487346	1.9657990015942184	2.1295059906908684	0.054927054775961714	3.720754986654892	2.9752939901885083	3.214820450991436	2.8263811337486566
bcc-csm1-1-m	1.3260573586012159	7.844777387991089	114.91993613075708	5000.0	1.6394745553600911	2.012659608958299	2.1771636664531364	0.1319351543389331	2.6157312729291844	3.2354796093045586	2.191668309062952	0.13281412925976446	4.087846660278228	2.9806164925552303	3.5655187766181298	2.8644909328239154
CanESM2	2.8595741910914256	26.3860507724594	279.10581995535813	5000.0	3.4839052515589333	1.5840504640012008	2.344347183566327	0.2456980255690384	4.528502275505383	1.5953537428215383	2.1269508217385007	0.2229139186579907	4.236860379361707	3.8290004623477496	3.834370885551332	3.691430290402885
CCSM4	1.0361727607943814	5.516657182246502	197.28446814646927	5000.0	1.2278683011028046	2.049259126180345	2.9704483352578435	0.13278287046829895	1.6168305095736053	3.6309774851497294	2.6676919814374758	0.11924927110027815	4.017374623630545	3.1901793165046466	3.4722963244094545	2.944380994995856
CNRM-CM5	1.451093337245578	10.706133376942672	392.1549795551296	5000.0	1.865268295917468	2.7597740137096056	1.7615850053210882	0.005266293085483653	2.580773876074018	3.0024847143493445	2.1562509197847093	0.00644615461367426	3.872977832410873	3.195946804016823	3.712978322021757	3.2504969434338298
CSIRO-Mk3-6-0	1.6184358341959424	11.294192821001674	308.9848132095304	5000.0	1.8656757143228784	1.587993802283017	6.241247951418862	0.18020160327028734	3.4671906580016985	1.780032309750749	2.559162374309349	0.07388989613442654	3.940137619098112	4.937559535647521	2.582732382252014	4.077745688566778
GFDL-CM3	3.2768797084968244	32.57530378820421	98.80828640978048	5000.0	3.0095037838957857	0.8045658335044545	2.6914268142841453	1.9716985072203863	3.644738159080839	0.640315278164169	1.693539858229334	1.2406616418723369	3.6096274686733394	4.238597469452387	2.9880942931251417	3.9695211790436895
GFDL-ESM2G	2.9838947215803286	17.504240330570756	291.9656634139795	5000.0	2.9098030565275	0.0	2.409606667944733	0.01639921609842521	5.131000119848681	0.0	2.162330698021893	0.014716314021228529	3.654023565945901	2.6679044702853294	3.0913733112163766	2.392823595541672
GFDL-ESM2M	1.031797160479748	5.767016202106714	240.02161231726043	5000.0	1.0115759609934534	1.955482181513977	2.0681740556777983	0.010737130728018407	1.5331600765009328	3.0987799241289724	2.519100958409919	0.01307816246571214	3.582059560752768	2.522984664456624	3.3613302711088084	2.435722649370233
GISS-E2-H	1.5645274621882868	10.433466275124967	186.2667469128525	5000.0	1.8911619743872508	1.2863183509795362	1.4689640288406305	0.1330928934878992	3.8187869771972887	2.3587384748800626	2.055482496523564	0.18623336419746386	4.2096206563991885	2.3897686238476585	3.811433326274339	2.307163434375876
GISS-E2-R	1.5081472224555426	10.612040563600095	232.39547991962243	5000.0	2.466737031862932	0.14657776997158986	1.8051437693853285	0.08337069427781607	7.347669505009401	0.15016298527712535	2.5592086383543093	0.11819723425909512	5.087619181449966	2.250914632748833	3.778759893351375	2.111006444192299
HadGEM2-ES	1.010037620045284	8.386747331178395	367.62085800189567	5000.0	1.2090353725605585	3.6131083150937746	5.275222267344229	1.7287456543474051	2.3711975620117567	3.2031635917713364	1.8558515436285217	0.6081820117841068	4.019197354597861	5.913055804672982	2.9023336522863854	4.612856467894284
inmcm4	1.0206196617897034	5.648366108473432	597.4259295608298	5000.0	0.7209108019971144	2.0784783575388994	1.4534965257525958	0.03612985213738895	1.3728503527631284	3.065878144301083	1.867107425863695	0.046411060519148783	3.1761234917235286	2.1445077687129994	2.976399901448868	2.077223703174399
